Days,Queue,RevenuType,Program,Reason,CountryProcessed
0.00380787,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom
0.01254630,<VL AOC SMS&P Processing>,Non-revenue,Open License,Order Transaction Request,United States
0.02347222,<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore
0.03614583,<VL APOC Enterprise>,OTRRR with OLS,Enterprise,Order Transaction Request,Singapore
0.03651620,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
0.04854167,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Norway
0.05228009,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
0.05236111,<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore
0.05593750,<VL APOC Ops Out>,Future Billing,Enterprise,Order Transaction Request,Singapore
0.06795139,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Germany
0.06831019,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom
0.08256944,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Kingdom
0.08324074,<VL APOC Enterprise>,Future Billing,Enterprise,Order Transaction Request,Singapore
0.09209491,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,United Kingdom
0.09500000,<VL NAOC Electronic Orders>,Non-revenue,Not Program Specific,Order Transaction Request,Canada
0.09518519,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Austria
0.09619213,<VL EOC Enterprise Data Entry>,Current Revenue,Enterprise,Order Transaction Request,Norway
0.10480324,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.10517361,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.10700231,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Jordan
0.11291667,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Russia
0.11527778,<VL EOC Enterprise Data Entry>,Revenue Unknown,Enterprise,Order Transaction Request,Italy
0.11527778,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Russia
0.11563657,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.11976852,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany
0.15418981,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Turkey
0.16862269,<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore
0.16945602,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.17981481,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Slovenia
0.18724537,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,South Africa
0.18782407,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Greece
0.19234954,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany
0.19601852,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Qatar
0.19793981,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Finland
0.20918981,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Pakistan
0.21856481,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy
0.22245370,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
0.22288194,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Kingdom
0.22518519,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Turkey
0.22690972,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France
0.23021991,<VL NAOC Enterprise Agreements>,Current Revenue,Enterprise,Order Transaction Request,United States
0.27142361,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.27221065,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Sweden
0.28085648,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Sweden
0.28202546,<VL APOC MILO>,Current Revenue,Enterprise,MILO,Singapore
0.29246528,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France
0.29665509,<VL EOC Enterprise Data Entry>,Non-revenue,Enterprise,Order Transaction Request,Kuwait
0.29681713,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Russia
0.30054398,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
0.30121528,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria
0.30481481,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Ireland
0.31489583,<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore
0.31811343,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Netherlands
0.31939815,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Austria
0.37925926,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.38474537,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria
0.38685185,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France
0.40750000,<VL NAOC Orders>,Future Billing,Not Program Specific,Order Transaction Request,United States
0.44896991,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Russia
0.46009259,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.46035880,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Luxembourg
0.46284722,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
0.51037037,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
0.51521991,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France
0.66049769,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Finland
0.71126157,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Process Licensing Agreement,Canada
0.80788194,<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore
0.82013889,<VL NAOC Order Rework>,Non-revenue,Enterprise,Order Transaction Request,Canada
0.85304398,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.85935185,<VL AOC E&E Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States
0.86410880,<VL EOC Enterprise Orders and Adjustments>,Credit / Rebill,Enterprise,Order Transaction Request,Norway
0.86561343,<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland
0.87129630,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia
0.87505787,<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Kingdom
0.90310185,<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States
0.90804398,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Israel
0.91535880,<VL AOC SMS&P Processing>,Current Revenue,Open License,Order Transaction Request,United States
0.92047454,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Angola
0.92906250,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom
0.93380787,<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Serbia
0.93439815,<VL AOC SMS&P Reworks>,Credit / Rebill,OV/OVS,Order Transaction Request,United States
0.93777778,<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States
