Days,Queue,RevenuType,Program,Reason,CountryProcessed
1.801527778,<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States
0.547129630,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
6.253599537,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
8.114375000,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
3.970046296,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
3.515532407,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
5.468807870,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
11.256689815,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
10.063761574,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
9.925162037,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
13.279791667,<VL AOC Ops Out>,Non-revenue,OV/OVS,Order Transaction Request,United States
5.047002315,<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States
2.314108796,<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States
3.899884259,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
9.237777778,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
2.201747685,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
4.600324074,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
0.480081019,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
12.033854167,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
5.370856481,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
3.032418981,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
2.956296296,<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States
0.383437500,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
1.025868056,<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States
13.091168981,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,Jamaica
7.354965278,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.291747685,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
10.841527778,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.868680556,<VL AOC Outbound Shipping>,Credit / Rebill,Enterprise,Order Transaction Request,United States
10.776273148,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
13.056516204,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.048761574,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.018819444,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.905034722,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.941041667,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
9.111018519,<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States
7.815810185,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.956956019,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.166365741,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.028402778,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.062268519,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.222592593,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.013923611,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.175902778,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.826608796,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.404444444,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.514664352,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.172500000,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.029166667,<VL AOC Outbound Shipping>,Current Revenue,SPLA,Order Transaction Request,United States
7.949386574,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.728506944,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.237812500,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.182488426,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,Canada
10.825983796,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
13.778148148,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.810856481,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
12.121620370,<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States
8.872106481,<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States
4.775057870,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,OLS Forms,United States
7.394872685,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
4.345659722,<VL AOC Outbound Shipping>,OTRRR without OLS,Enterprise,Order Transaction Request,United States
8.397476852,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.137048611,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
3.999305556,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.987060185,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
0.325682870,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.591203704,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,Canada
6.177905093,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
10.829791667,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
14.522280093,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
10.136076389,<VL AOC Outbound Shipping>,Credit / Rebill,Enterprise,Order Transaction Request,Guatemala
8.857824074,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.036562500,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.224189815,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
8.014618056,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.665115741,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.226284722,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.899143519,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
5.223125000,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.131435185,<VL AOC Outbound Shipping>,Current Revenue,SPLA,Order Transaction Request,United States
7.291157407,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
3.401909722,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.548703704,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.288368056,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
3.871099537,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
4.065706019,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
0.417465278,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.001030093,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.927766204,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
16.387013889,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
12.021863426,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.049016204,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
16.153078704,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.902789352,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.295439815,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
9.964988426,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
10.162465278,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.118321759,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.138356481,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.993634259,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.991990741,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.124710648,<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States
13.187037037,<VL AOC Outbound Shipping>,Non-revenue,Enterprise,Order Transaction Request,United States
8.962465278,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.840000000,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.833761574,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
11.279282407,<VL AOC Outbound Shipping>,Future Billing,Enterprise,Order Transaction Request,United States
7.005601852,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.211643519,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
9.333171296,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
4.940150463,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.101111111,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
5.102916667,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
6.992893519,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
8.471840278,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.046400463,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.291018519,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
7.292372685,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
0.224652778,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
0.113888889,<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States
0.008229167,<VL AOC SMS&P Data Entry>,Non-revenue,OV/OVS,Order Transaction Request,United States
15.165208333,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
12.331388889,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
10.867442130,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
14.201863426,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.004976852,<VL AOC SMS&P Processing>,Current Revenue,IP&L,Order Transaction Request,United States
12.185763889,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
1.905254630,<VL AOC SMS&P Processing>,Current Revenue,EBU,Order Transaction Request,United States
10.267106481,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
11.986423611,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Process Licensing Agreement,United States
12.144861111,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Process Licensing Agreement,United States
9.533715278,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
9.536087963,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.603020833,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
3.726238426,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.082245370,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
3.084050926,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.357002315,<VL AOC SMS&P Processing>,Revenue Unknown,OV/OVS,Order Transaction Request,United States
2.968518519,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.944502315,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.935092593,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.923854167,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
2.902337963,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.290185185,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
2.888541667,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.889027778,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.367268519,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.859988426,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.839502315,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
0.128449074,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
0.088692130,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.115810185,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.007349537,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.041342593,<VL AOC SMS&P Processing>,Current Revenue,Open License,Order Transaction Request,Canada
14.132500000,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.021539352,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
14.111990741,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
14.124050926,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
0.089780093,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
14.451354167,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
13.164745370,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
13.144953704,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
13.069212963,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.245138889,<VL AOC SMS&P Processing>,Current Revenue,IP&L,Order Transaction Request,United States
10.795902778,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
11.163333333,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
11.153055556,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
10.432719907,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
10.354363426,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
11.299270833,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
6.054548611,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
7.615231481,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
5.226365741,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
5.159155093,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.629201389,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
4.282847222,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.315011574,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.328460648,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.260231481,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.432569444,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.409027778,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.380879630,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.389606481,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.370034722,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.346770833,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.316261574,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.016435185,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.340104167,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.660000000,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
0.548449074,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.659305556,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.634247685,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.544641204,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
3.620972222,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
4.004930556,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
5.585104167,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
3.617812500,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.618645833,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.548634259,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,Canada
3.876898148,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,Canada
3.519652778,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,Canada
3.502962963,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,Canada
3.823020833,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.839212963,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.835196759,<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States
3.750196759,<VL AOC SMS&P Processing>,Non-revenue,SPLA,Order Transaction Request,United States
0.015914352,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.087303241,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,Canada
3.004305556,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
3.052488426,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.934444444,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.936643519,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.932094907,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.980752315,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.898865741,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.959432870,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.985335648,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.888506944,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.853831019,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
3.067696759,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.920717593,<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States
2.947523148,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.230729167,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.321631944,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
2.197893519,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
1.581782407,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
1.543969907,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
1.485787037,<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States
